,data_id,file_urls,files,liked,title,watched,dominant_color,palette,genre,year,country,director
2,44070,['https://a.ltrbxd.com/resized/sm/upload/qg/0c/7c/2z/jXggcKzlyxj7yMBUIsqwiaaEtD5-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/qg/0c/7c/2z/jXggcKzlyxj7yMBUIsqwiaaEtD5-0-150-0-225-crop.jpg', 'path': 'full/f30490227922c7776603c4fb2adc6d464530fd34.jpg', 'checksum': '53f9e1b14d5fb5849ef547bbf8689aaf'}]",22000.0,Watchmen,97000.0,"(14, 28, 32)","[(223, 221, 66), (12, 21, 23), (94, 170, 187), (63, 109, 112), (53, 126, 157), (25, 72, 96)]","['action', 'mystery', 'science fiction']",2009,USA,Zack Snyder
3,40860,['https://a.ltrbxd.com/resized/film-poster/4/0/8/6/0/40860-district-9-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/4/0/8/6/0/40860-district-9-0-150-0-225-crop.jpg', 'path': 'full/7546de372e9cbf9be92509f9315b2e56a3125455.jpg', 'checksum': 'f8cb0718bfe371f2a358d3d904996c83'}]",24000.0,District 9,100000.0,"(212, 213, 214)","[(33, 34, 33), (212, 215, 217), (152, 173, 188), (126, 113, 110), (128, 145, 170), (188, 65, 67)]",['science fiction'],2009,USA,Neill Blomkamp
4,39352,['https://a.ltrbxd.com/resized/sm/upload/6w/gw/y5/nn/yOeP8RF2G4De4jNo5BdFkRgucsX-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/6w/gw/y5/nn/yOeP8RF2G4De4jNo5BdFkRgucsX-0-150-0-225-crop.jpg', 'path': 'full/ec6ed387596329b63c7ccea019f3fa1746fcd431.jpg', 'checksum': 'dd83d59728c6aec3e1a3322a81324ca8'}]",25000.0,Zombieland,116000.0,"(52, 56, 56)","[(214, 156, 124), (40, 41, 41), (146, 163, 166), (133, 107, 97), (127, 144, 151), (90, 110, 111)]","['comedy', 'horror']",2009,USA,Ruben Fleischer
7,39304,['https://a.ltrbxd.com/resized/sm/upload/1p/mh/li/l2/b7nR3eKeTOwHPKmDLUWunIGasKo-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/1p/mh/li/l2/b7nR3eKeTOwHPKmDLUWunIGasKo-0-150-0-225-crop.jpg', 'path': 'full/449d61c24bccfbee40e8dc42ed23fa010e8a2e8e.jpg', 'checksum': '6de8791b5d088144794604436eb7581c'}]",23000.0,Avatar,167000.0,"(7, 33, 64)","[(7, 64, 116), (187, 206, 138), (5, 7, 14), (5, 139, 201), (26, 173, 216), (10, 119, 175)]","['fantasy', 'action', 'adventure', 'science fiction']",2009,USA,James Cameron
8,44466,['https://a.ltrbxd.com/resized/sm/upload/2u/48/o1/04/kCl9WXR7LOqDTEU3XUX8ssUETQR-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/2u/48/o1/04/kCl9WXR7LOqDTEU3XUX8ssUETQR-0-150-0-225-crop.jpg', 'path': 'full/20fc884d8cf552ac5e968f865679877d1503a52e.jpg', 'checksum': '98c5c87288321e6dc7ee7b96e09aec87'}]",9200.0,A Serious Man,40000.0,"(119, 129, 134)","[(117, 128, 133), (50, 50, 39), (204, 205, 202), (174, 179, 188), (179, 188, 189), (52, 60, 68)]","['comedy', 'drama']",2009,USA,Ethan Coen
9,39350,['https://a.ltrbxd.com/resized/film-poster/3/9/3/5/0/39350--500-days-of-summer-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/3/9/3/5/0/39350--500-days-of-summer-0-150-0-225-crop.jpg', 'path': 'full/7f430e14fea49d08b982c879d446730d5cbfdff5.jpg', 'checksum': '8258162f54a19d2af5d1ccd8379a082d'}]",27000.0,(500) Days of Summer,117000.0,"(54, 108, 150)","[(227, 220, 219), (58, 138, 199), (123, 85, 61), (166, 125, 90), (41, 28, 25), (127, 159, 182)]","['romance', 'comedy', 'drama']",2009,USA,Marc Webb
11,42779,['https://a.ltrbxd.com/resized/sm/upload/x1/7y/oq/pi/ybOmHUVVXcwBQErjw7tmeE97fpO-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/x1/7y/oq/pi/ybOmHUVVXcwBQErjw7tmeE97fpO-0-150-0-225-crop.jpg', 'path': 'full/4eaab4945c90a6be391e6ec8a873b6da957ea7c5.jpg', 'checksum': '3a99e3bb09c7a118e3ecdda5209a7e8a'}]",17000.0,Coraline,73000.0,"(225, 222, 214)","[(18, 23, 46), (228, 228, 218), (90, 164, 204), (58, 81, 129), (46, 129, 177), (180, 78, 71)]","['animation', 'family']",2009,USA,Henry Selick
12,43302,['https://a.ltrbxd.com/resized/sm/upload/w4/28/dj/w1/gfFqBcoFW8uczyl2ytVmVmUg82k-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/w4/28/dj/w1/gfFqBcoFW8uczyl2ytVmVmUg82k-0-150-0-225-crop.jpg', 'path': 'full/2b60b7c35f7a54c1c7864cc7e4c80340164d1ddc.jpg', 'checksum': '67eeeb5d12a5f0f6e5bad545702876c0'}]",46000.0,Up,176000.0,"(221, 205, 198)","[(25, 123, 182), (220, 208, 200), (69, 45, 33), (144, 122, 152), (143, 203, 189), (221, 60, 111)]","['family', 'adventure', 'animation', 'comedy']",2009,USA,Pete Docter
14,46344,['https://a.ltrbxd.com/resized/sm/upload/86/js/yv/zh/750pfEttsYAVmynRg2vmt1AXh4q-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/86/js/yv/zh/750pfEttsYAVmynRg2vmt1AXh4q-0-150-0-225-crop.jpg', 'path': 'full/63c7d8dc0405b189c6071b11cb54af83fc288479.jpg', 'checksum': '3c090b42a309b1915b67fbb25d313331'}]",27000.0,Fantastic Mr. Fox,89000.0,"(41, 23, 18)","[(214, 167, 94), (36, 18, 15), (125, 184, 195), (138, 58, 39), (91, 86, 58), (124, 132, 140)]","['adventure', 'comedy', 'animation', 'family']",2009,USA,Wes Anderson
15,50544,['https://a.ltrbxd.com/resized/film-poster/5/0/5/4/4/50544-x-men-origins-wolverine-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/5/0/5/4/4/50544-x-men-origins-wolverine-0-150-0-225-crop.jpg', 'path': 'full/219f2282baffdac1fd3000c012489dd1dde47eec.jpg', 'checksum': 'deeee97f835107e5a8f027908f19fad6'}]",4600.0,X-Men Origins: Wolverine,74000.0,"(200, 178, 158)","[(201, 180, 161), (14, 12, 12), (101, 81, 66), (134, 141, 139), (113, 122, 134), (152, 72, 32)]","['action', 'adventure', 'science fiction', 'thriller']",2009,USA,Gavin Hood
16,240344,['https://a.ltrbxd.com/resized/sm/upload/bb/ie/s7/du/ylXCdC106IKiarftHkcacasaAcb-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/bb/ie/s7/du/ylXCdC106IKiarftHkcacasaAcb-0-150-0-225-crop.jpg', 'path': 'full/2a5d9dfeb9452890a9724f428a4c8bd0000bbf8c.jpg', 'checksum': 'be630194d9efee037d1d393f3ebd64a8'}]",61000.0,La La Land,159000.0,"(14, 12, 60)","[(13, 11, 59), (77, 47, 176), (54, 39, 134), (190, 171, 113), (86, 82, 72), (116, 140, 172)]","['comedy', 'drama', 'music', 'romance']",2016,USA,Damien Chazelle
17,37609,['https://a.ltrbxd.com/resized/film-poster/3/7/6/0/9/37609-up-in-the-air-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/3/7/6/0/9/37609-up-in-the-air-0-150-0-225-crop.jpg', 'path': 'full/2916c5a637198a7d3f296925584328730fd5827c.jpg', 'checksum': '44e1d3022d2b62815c4b5fafa9895919'}]",9100.0,Up in the Air,54000.0,"(180, 196, 197)","[(34, 34, 34), (183, 199, 200), (73, 71, 67), (88, 95, 89), (102, 114, 114), (131, 133, 125)]","['drama', 'romance']",2009,USA,Jason Reitman
18,257426,['https://a.ltrbxd.com/resized/sm/upload/3u/dy/qd/qd/4Iu5f2nv7huqvuYkmZvSPOtbFjs-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/3u/dy/qd/qd/4Iu5f2nv7huqvuYkmZvSPOtbFjs-0-150-0-225-crop.jpg', 'path': 'full/4e39b8c3a83f3564a939b27d4ea1b1b03b503396.jpg', 'checksum': '4f1110cfc7d9f6f64b51e1ec582a36c6'}]",61000.0,Arrival,160000.0,"(72, 81, 87)","[(65, 74, 78), (214, 202, 189), (154, 158, 161), (126, 142, 156), (166, 170, 181), (177, 180, 176)]","['mystery', 'drama', 'thriller', 'science fiction']",2016,USA,Denis Villeneuve
20,220575,['https://a.ltrbxd.com/resized/film-poster/2/2/0/5/7/5/220575-deadpool-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/2/2/0/5/7/5/220575-deadpool-0-150-0-225-crop.jpg', 'path': 'full/857e93c930d397c647037939426cf8a12bcc6c72.jpg', 'checksum': '4dc2ed69691042775b2fab34e7df5766'}]",62000.0,Deadpool,194000.0,"(43, 32, 32)","[(213, 146, 128), (38, 23, 23), (152, 164, 164), (135, 76, 70), (91, 97, 98), (126, 137, 148)]","['comedy', 'action', 'adventure']",2016,USA,Tim Miller
21,258128,['https://a.ltrbxd.com/resized/film-poster/2/5/8/1/2/8/258128-rogue-one-a-star-wars-story-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/2/5/8/1/2/8/258128-rogue-one-a-star-wars-story-0-150-0-225-crop.jpg', 'path': 'full/6079e03e7ab980c4445150465f46d838bb957b11.jpg', 'checksum': '5f1b6e2169541bc719a4fa9ee2d1fe0a'}]",45000.0,Rogue One: A Star Wars Story,147000.0,"(47, 84, 107)","[(41, 76, 98), (190, 210, 217), (128, 185, 201), (9, 15, 26), (90, 140, 160), (100, 158, 182)]","['action', 'science fiction', 'adventure']",2016,USA,Gareth Edwards
22,312205,['https://a.ltrbxd.com/resized/sm/upload/90/gn/c7/9k/qAwFbszz0kRyTuXmMeKQZCX3Q2O-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/90/gn/c7/9k/qAwFbszz0kRyTuXmMeKQZCX3Q2O-0-150-0-225-crop.jpg', 'path': 'full/fc51815179b006395b1717decaedcff3b27ac7f5.jpg', 'checksum': '245c52b23358f3f5b24c02d37ce07999'}]",41000.0,Moonlight,114000.0,"(61, 48, 95)","[(66, 223, 236), (53, 47, 92), (189, 113, 185), (58, 139, 167), (121, 152, 198), (124, 78, 140)]",['drama'],2016,USA,Barry Jenkins
23,194402,['https://a.ltrbxd.com/resized/film-poster/1/9/4/4/0/2/194402-captain-america-civil-war-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/1/9/4/4/0/2/194402-captain-america-civil-war-0-150-0-225-crop.jpg', 'path': 'full/24f3d66e184b4e5dc04843f01e60aa8d95b97ce1.jpg', 'checksum': 'fd8ec7a7cfc6268a1633607067503403'}]",39000.0,Captain America: Civil War,144000.0,"(209, 204, 210)","[(21, 20, 24), (209, 209, 214), (106, 86, 89), (135, 149, 159), (109, 126, 143), (176, 65, 71)]","['adventure', 'action', 'science fiction']",2016,USA,Anthony Russo
24,148998,['https://a.ltrbxd.com/resized/sm/upload/ge/rr/co/14/w7PsEa7Ilk53vFI7PplTJYckIJj-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/ge/rr/co/14/w7PsEa7Ilk53vFI7PplTJYckIJj-0-150-0-225-crop.jpg', 'path': 'full/f81865fb109521b02a56530bd4b2fca1beef8bc8.jpg', 'checksum': '0b61deefc34f0409d3d2435c6a965ddf'}]",16000.0,Batman v Superman: Dawn of Justice,113000.0,"(50, 32, 60)","[(40, 27, 57), (190, 99, 103), (84, 117, 138), (120, 67, 84), (141, 141, 142), (68, 132, 170)]","['adventure', 'action', 'fantasy']",2016,USA,Zack Snyder
25,209381,['https://a.ltrbxd.com/resized/film-poster/2/0/9/3/8/1/209381-doctor-strange-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/2/0/9/3/8/1/209381-doctor-strange-0-150-0-225-crop.jpg', 'path': 'full/97e79c9b1eacf0036771a4994bc90cd13d4dc0e6.jpg', 'checksum': '42f66d12921bb1bd9d8dcdfe922181f0'}]",28000.0,Doctor Strange,118000.0,"(34, 35, 59)","[(216, 193, 189), (32, 32, 54), (121, 85, 101), (110, 174, 202), (79, 123, 182), (55, 86, 135)]","['fantasy', 'adventure', 'science fiction', 'action']",2016,USA,Scott Derrickson
26,316315,['https://a.ltrbxd.com/resized/sm/upload/5e/pw/vs/km/8CHJcVc5IGXS1sC5DyjeMwTDEQH-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/5e/pw/vs/km/8CHJcVc5IGXS1sC5DyjeMwTDEQH-0-150-0-225-crop.jpg', 'path': 'full/68ce86b5d25246acb18e4b722d1c5eee489fa079.jpg', 'checksum': '75c070bd1fb49cf0e47a6bdc9077d09b'}]",21000.0,Split,89000.0,"(41, 34, 33)","[(231, 226, 217), (28, 24, 24), (127, 102, 90), (156, 148, 139), (176, 132, 116), (124, 132, 140)]","['thriller', 'horror']",2016,USA,M. Night Shyamalan
27,192410,['https://a.ltrbxd.com/resized/sm/upload/wc/zb/eh/qp/bHXf0mrnnRthdWI9MuAMlPftnZK-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/wc/zb/eh/qp/bHXf0mrnnRthdWI9MuAMlPftnZK-0-150-0-225-crop.jpg', 'path': 'full/ff7d1d69480039830840f4b7fa2a839fedafe448.jpg', 'checksum': 'f5e57436c196fefb02863cbb3c30984c'}]",42000.0,Zootopia,143000.0,"(142, 158, 180)","[(136, 152, 174), (50, 74, 107), (153, 115, 64), (229, 218, 209), (121, 43, 25), (192, 215, 235)]","['animation', 'adventure', 'family', 'comedy']",2016,USA,Byron Howard
29,263221,['https://a.ltrbxd.com/resized/sm/upload/i7/li/tp/62/i0t7F6b4R1wURRESAiw9VJNuVoV-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/i7/li/tp/62/i0t7F6b4R1wURRESAiw9VJNuVoV-0-150-0-225-crop.jpg', 'path': 'full/f7e4254c87f31af2cb3a8b39b3de49eeac1d284f.jpg', 'checksum': 'd726f1b2ce789b844ae46929a13c03e7'}]",24000.0,Manchester by the Sea,80000.0,"(214, 233, 231)","[(54, 60, 76), (215, 235, 233), (120, 93, 94), (131, 154, 162), (148, 127, 103), (168, 149, 134)]",['drama'],2016,USA,Kenneth Lonergan
30,261891,['https://a.ltrbxd.com/resized/sm/upload/ut/hu/e7/4a/1AlndRWW3kSEE9xrfZIcoEiso0n-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/ut/hu/e7/4a/1AlndRWW3kSEE9xrfZIcoEiso0n-0-150-0-225-crop.jpg', 'path': 'full/2044b74b948fa5cc6d7bef6271f9d288634918ef.jpg', 'checksum': 'ea1a828a6f58258d0400825d4397ec84'}]",28000.0,10 Cloverfield Lane,101000.0,"(14, 21, 22)","[(182, 180, 153), (12, 18, 20), (113, 161, 133), (93, 104, 85), (59, 85, 72), (108, 128, 124)]","['science fiction', 'drama', 'thriller']",2016,USA,Dan Trachtenberg
31,225026,['https://a.ltrbxd.com/resized/sm/upload/t0/3y/yr/rs/n3rm3gxguxzFDlygpROV7RHbELe-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/t0/3y/yr/rs/n3rm3gxguxzFDlygpROV7RHbELe-0-150-0-225-crop.jpg', 'path': 'full/197b6ce5040f3ff0f00ac5f77851b3bcfdbacdee.jpg', 'checksum': '2cd50cc1df7c2d9ed2aa121286c15de9'}]",12000.0,Suicide Squad,122000.0,"(142, 184, 139)","[(138, 183, 140), (124, 59, 123), (38, 96, 129), (68, 43, 44), (203, 218, 133), (221, 217, 232)]","['crime', 'adventure', 'action', 'fantasy', 'science fiction']",2016,USA,David Ayer
32,270106,['https://a.ltrbxd.com/resized/sm/upload/nu/i0/7z/nd/oHL437Dz1TGQMlKfpE6rSQJgMxb-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/nu/i0/7z/nd/oHL437Dz1TGQMlKfpE6rSQJgMxb-0-150-0-225-crop.jpg', 'path': 'full/599aa3ce6805983389dc23cb5167a491befb64fb.jpg', 'checksum': 'e93a8ffc9ce7422c548d90499f0d5792'}]",19000.0,Nocturnal Animals,68000.0,"(47, 35, 36)","[(38, 28, 29), (232, 232, 235), (124, 98, 90), (161, 158, 159), (144, 137, 140), (192, 180, 178)]","['drama', 'thriller']",2016,USA,Tom Ford
33,201909,['https://a.ltrbxd.com/resized/film-poster/2/0/1/9/0/9/201909-moana-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/2/0/1/9/0/9/201909-moana-0-150-0-225-crop.jpg', 'path': 'full/b1dbb132bfe77449354bfc31615acd665511190a.jpg', 'checksum': '20a57df01c8d0a660009202ce5923bd1'}]",27000.0,Moana,93000.0,"(52, 167, 188)","[(48, 158, 181), (209, 211, 191), (160, 194, 190), (71, 54, 37), (126, 102, 66), (67, 222, 222)]","['comedy', 'animation', 'adventure', 'fantasy', 'music', 'family']",2016,USA,Ron Clements
34,99402,['https://a.ltrbxd.com/resized/film-poster/9/9/4/0/2/99402-finding-dory-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/9/9/4/0/2/99402-finding-dory-0-150-0-225-crop.jpg', 'path': 'full/e6071bf07ec989c21523b947b467846e6efdd6de.jpg', 'checksum': '0dbbb5fde197dff15dbbda926206b705'}]",20000.0,Finding Dory,97000.0,"(14, 120, 176)","[(14, 130, 186), (186, 189, 174), (75, 195, 214), (22, 26, 54), (18, 60, 111), (16, 39, 94)]","['animation', 'adventure', 'family', 'comedy']",2016,USA,Andrew Stanton
37,50825,['https://a.ltrbxd.com/resized/film-poster/5/0/8/2/5/50825-iron-man-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/5/0/8/2/5/50825-iron-man-0-150-0-225-crop.jpg', 'path': 'full/50e7e2b215b20ca938faa63edbcd7345ca7b5ab9.jpg', 'checksum': 'cf5ce27ca53afde1fab31414e7763511'}]",36000.0,Iron Man,164000.0,"(15, 8, 6)","[(186, 151, 108), (15, 8, 6), (101, 54, 30), (78, 166, 196), (41, 118, 164), (65, 68, 49)]","['action', 'adventure', 'science fiction']",2008,USA,Jon Favreau
40,45994,['https://a.ltrbxd.com/resized/sm/upload/b9/9n/tr/ss/wall-e-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/b9/9n/tr/ss/wall-e-0-150-0-225-crop.jpg', 'path': 'full/754a09caa4a1986353f42717e0b4e275de76006b.jpg', 'checksum': '369503eca83a077a8c2d286795fbd0ef'}]",49000.0,WALL·E,171000.0,"(18, 65, 109)","[(193, 206, 216), (17, 62, 106), (66, 185, 225), (32, 136, 191), (10, 9, 19), (49, 121, 159)]","['animation', 'family']",2008,USA,Andrew Stanton
42,49075,['https://a.ltrbxd.com/resized/sm/upload/yh/ob/ip/lw/gjMR102u5hPdIAWX7O2rim8ZWgA-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/yh/ob/ip/lw/gjMR102u5hPdIAWX7O2rim8ZWgA-0-150-0-225-crop.jpg', 'path': 'full/643deb8e3fd0a605bccc6f5d88d0ed320ae7d6a3.jpg', 'checksum': 'fd77924055cdfbaa982fc7a1b165864b'}]",16000.0,The Curious Case of Benjamin Button,101000.0,"(220, 185, 147)","[(220, 185, 147), (24, 13, 9), (122, 82, 54), (151, 145, 141), (128, 132, 132), (164, 60, 36)]","['fantasy', 'drama', 'romance', 'mystery', 'thriller']",2008,USA,David Fincher
43,50827,['https://a.ltrbxd.com/resized/film-poster/5/0/8/2/7/50827-the-incredible-hulk-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/5/0/8/2/7/50827-the-incredible-hulk-0-150-0-225-crop.jpg', 'path': 'full/f50a4bdad6b71e768310da2ee945d1c55f981263.jpg', 'checksum': '974433840178a089d36250115d3c2e19'}]",7000.0,The Incredible Hulk,75000.0,"(22, 30, 31)","[(20, 28, 29), (183, 175, 159), (107, 105, 98), (59, 75, 87), (122, 140, 148), (132, 148, 152)]","['action', 'adventure', 'science fiction']",2008,USA,Louis Leterrier
45,48106,['https://a.ltrbxd.com/resized/sm/upload/07/hp/61/ut/as01o40tJ2FhtheqeXf7bVZ0EQO-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/07/hp/61/ut/as01o40tJ2FhtheqeXf7bVZ0EQO-0-150-0-225-crop.jpg', 'path': 'full/3dd7d1a4341186ff2f6ddbd93f50440e5203fb0c.jpg', 'checksum': 'e7b4072b6fffc1e4299fe4b10ec1fb9c'}]",12000.0,Cloverfield,76000.0,"(23, 63, 51)","[(191, 199, 165), (21, 61, 50), (145, 187, 165), (103, 151, 126), (103, 110, 83), (116, 172, 172)]","['thriller', 'science fiction', 'action']",2008,USA,Matt Reeves
47,48030,['https://a.ltrbxd.com/resized/film-poster/4/8/0/3/0/48030-tropic-thunder-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/4/8/0/3/0/48030-tropic-thunder-0-150-0-225-crop.jpg', 'path': 'full/98f575cb50dcee6dd8af0e8d1fbb13282abffc4d.jpg', 'checksum': '5a00d3a685500b5952553b1bf1f4326b'}]",13000.0,Tropic Thunder,76000.0,"(225, 159, 97)","[(227, 165, 102), (41, 23, 12), (135, 59, 28), (188, 69, 22), (158, 142, 80), (156, 132, 132)]","['comedy', 'action']",2008,USA,Ben Stiller
48,44042,['https://a.ltrbxd.com/resized/sm/upload/il/wm/1v/to/9ip2LgCyVMdovhJqY4mttTWfyo6-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/il/wm/1v/to/9ip2LgCyVMdovhJqY4mttTWfyo6-0-150-0-225-crop.jpg', 'path': 'full/48e7102e657f18cb423a982e82bde7a83c3dc7da.jpg', 'checksum': '345fa5951718125cf757ab8f94bb0b18'}]",14000.0,Gran Torino,68000.0,"(7, 7, 6)","[(179, 161, 131), (8, 7, 6), (98, 83, 59), (119, 132, 117), (124, 124, 124), (59, 68, 60)]",['drama'],2008,USA,Clint Eastwood
49,52516,['https://a.ltrbxd.com/resized/sm/upload/js/dd/e1/wd/3hijm6VD8g69itqMz2Zl8rHtXce-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/js/dd/e1/wd/3hijm6VD8g69itqMz2Zl8rHtXce-0-150-0-225-crop.jpg', 'path': 'full/8e361c45a2095d83709d21a07e9ec74fda76b1e5.jpg', 'checksum': '23e44a75d2ebfec2d7c0a22b2ffee8bf'}]",68000.0,Django Unchained,200000.0,"(21, 18, 18)","[(219, 214, 214), (13, 12, 12), (210, 26, 35), (97, 76, 76), (125, 124, 124), (132, 140, 138)]","['western', 'drama']",2012,USA,Quentin Tarantino
50,44740,['https://a.ltrbxd.com/resized/sm/upload/ud/52/sl/57/huooRmB7yksJyVVSkqOgitxlCec-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/ud/52/sl/57/huooRmB7yksJyVVSkqOgitxlCec-0-150-0-225-crop.jpg', 'path': 'full/1e7571e53faaa2a133b026ef07573ebe13f60513.jpg', 'checksum': '2a58a7454a42382b3a28fbebbf244acc'}]",11000.0,The Wrestler,48000.0,"(220, 176, 108)","[(44, 20, 9), (221, 175, 106), (147, 81, 31), (157, 154, 103), (156, 140, 108), (180, 76, 28)]","['romance', 'drama']",2008,USA,Darren Aronofsky
51,16550,['https://a.ltrbxd.com/resized/film-poster/1/6/5/5/0/16550-the-dark-knight-rises-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/1/6/5/5/0/16550-the-dark-knight-rises-0-150-0-225-crop.jpg', 'path': 'full/cfa63b54980005eef4d664f2bae0d195c16f7613.jpg', 'checksum': '3c071d1b74f012fac0285d8317ae7575'}]",46000.0,The Dark Knight Rises,186000.0,"(19, 19, 19)","[(19, 19, 19), (182, 177, 175), (96, 93, 91), (132, 140, 140), (132, 132, 140), (68, 76, 76)]","['action', 'crime', 'drama', 'thriller']",2012,USA,Christopher Nolan
52,49039,['https://a.ltrbxd.com/resized/sm/upload/z9/j9/kx/ve/l3r5MgeN0UUySPbf6aWeUyKGdb2-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/z9/j9/kx/ve/l3r5MgeN0UUySPbf6aWeUyKGdb2-0-150-0-225-crop.jpg', 'path': 'full/f6517250fa8ce20aaabeac616f3dae3306ac2f26.jpg', 'checksum': 'dfb8ddfd0b7b07b8ef3386ed90ffb9e0'}]",10000.0,"Synecdoche, New York",34000.0,"(49, 42, 29)","[(211, 187, 147), (47, 39, 27), (138, 115, 80), (93, 181, 197), (70, 138, 152), (88, 112, 101)]",['drama'],2008,USA,Charlie Kaufman
53,44741,['https://a.ltrbxd.com/resized/sm/upload/e9/ge/jr/14/tOiWc3mUzHH4gMpmUe9vqxIeWMs-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/e9/ge/jr/14/tOiWc3mUzHH4gMpmUe9vqxIeWMs-0-150-0-225-crop.jpg', 'path': 'full/5994d28ab121748ae36d98d7e323340c0b3abda1.jpg', 'checksum': 'f8042b2320ee14abb24f6c0dcb814dcb'}]",11000.0,The Hurt Locker,64000.0,"(196, 187, 158)","[(17, 16, 11), (185, 167, 127), (80, 66, 45), (220, 235, 231), (110, 100, 78), (115, 93, 54)]","['drama', 'thriller', 'war']",2008,USA,Kathryn Bigelow
54,69151,['https://a.ltrbxd.com/resized/film-poster/6/9/1/5/1/69151-silver-linings-playbook-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/6/9/1/5/1/69151-silver-linings-playbook-0-150-0-225-crop.jpg', 'path': 'full/8c2eec2c3553b4ce6e9f65ea260da24962f7c2e0.jpg', 'checksum': 'f3a503a12bae63a3221179099d658a9e'}]",31000.0,Silver Linings Playbook,139000.0,"(25, 25, 25)","[(195, 195, 185), (11, 11, 11), (97, 96, 94), (131, 132, 129), (123, 123, 124), (140, 124, 20)]","['comedy', 'romance', 'drama']",2012,USA,David O. Russell
55,51839,['https://a.ltrbxd.com/resized/film-poster/5/1/8/3/9/51839-indiana-jones-and-the-kingdom-of-the-crystal-skull-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/5/1/8/3/9/51839-indiana-jones-and-the-kingdom-of-the-crystal-skull-0-150-0-225-crop.jpg', 'path': 'full/33afbea775746b12f55de2a88cf84589514426b7.jpg', 'checksum': 'dc0b1a9c0e2b59e7e15faf4d57dd78ba'}]",5100.0,Indiana Jones and the Kingdom of the Crystal Skull,81000.0,"(141, 94, 49)","[(226, 175, 95), (42, 28, 18), (156, 102, 51), (180, 161, 107), (114, 98, 59), (160, 148, 132)]","['adventure', 'action']",2008,USA,Steven Spielberg
