,data_id,file_urls,files,liked,title,watched,dominant_color,palette,genre,year,country,director
3443,25777,['https://a.ltrbxd.com/resized/film-poster/2/5/7/7/7/25777-middle-men-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/2/5/7/7/7/25777-middle-men-0-150-0-225-crop.jpg', 'path': 'full/16518b5c6b0b92ce2734d400574eed45214c8761.jpg', 'checksum': 'f83247481e4e5a49b7d2e20db9e0a969'}]",112.0,Middle Men,1400.0,"(20, 12, 8)","[(174, 91, 53), (7, 5, 4), (98, 54, 29), (234, 220, 179), (120, 143, 121), (76, 100, 108)]","['comedy', 'crime', 'drama']",2009,USA,George Gallo
3444,41915,['https://a.ltrbxd.com/resized/film-poster/4/1/9/1/5/41915-the-lucky-ones-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/4/1/9/1/5/41915-the-lucky-ones-0-150-0-225-crop.jpg', 'path': 'full/c16e21a9bb16b5017feadc31a73cc881448058c6.jpg', 'checksum': 'beb440780badc562211a21091ac5d955'}]",76.0,The Lucky Ones,802.0,"(211, 215, 202)","[(214, 220, 208), (34, 23, 27), (142, 39, 35), (181, 149, 83), (178, 141, 114), (124, 123, 116)]","['comedy', 'drama', 'history']",2008,USA,Neil Burger
3446,189879,['https://a.ltrbxd.com/resized/sm/upload/rx/ah/22/9n/4kIgibYX725i3MVoqqdNCjEqR2G-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/rx/ah/22/9n/4kIgibYX725i3MVoqqdNCjEqR2G-0-150-0-225-crop.jpg', 'path': 'full/0606082969b06d9a9d33b9f72535aa93f4c04cb6.jpg', 'checksum': '3be38cdd905ec7a806b24f18eedcd3d7'}]",144.0,Jem and the Holograms,1800.0,"(214, 163, 224)","[(18, 15, 48), (218, 173, 230), (78, 76, 205), (66, 53, 145), (111, 175, 230), (214, 59, 181)]","['adventure', 'drama', 'fantasy', 'music']",2015,USA,Jon M. Chu
3447,166717,['https://a.ltrbxd.com/resized/film-poster/1/6/6/7/1/7/166717-mojave-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/1/6/6/7/1/7/166717-mojave-0-150-0-225-crop.jpg', 'path': 'full/4aca11e4b6bc0853c8160b46441df09634359b5b.jpg', 'checksum': 'e6d949a7e5f5c761c16bcc46f34a7243'}]",126.0,Mojave (Atrapados),1400.0,"(43, 37, 24)","[(39, 30, 17), (213, 196, 156), (111, 166, 177), (121, 102, 84), (79, 110, 103), (96, 136, 144)]",['thriller'],2015,USA,William Monahan
3448,271872,['https://a.ltrbxd.com/resized/film-poster/2/7/1/8/7/2/271872-jenny-s-wedding-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/2/7/1/8/7/2/271872-jenny-s-wedding-0-150-0-225-crop.jpg', 'path': 'full/4a368fb05113e30134409a623cacbfab5a651cdf.jpg', 'checksum': 'fbd4b0430413b1e361c8006c3774df3c'}]",179.0,Jenny's Wedding,2600.0,"(241, 222, 216)","[(245, 232, 230), (152, 72, 56), (56, 43, 63), (209, 143, 129), (223, 172, 151), (187, 117, 91)]","['comedy', 'drama']",2015,USA,Mary Agnes Donoghue
3450,254007,['https://a.ltrbxd.com/resized/film-poster/2/5/4/0/0/7/254007-aziz-ansari-live-at-madison-square-garden-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/2/5/4/0/0/7/254007-aziz-ansari-live-at-madison-square-garden-0-150-0-225-crop.jpg', 'path': 'full/440a17a8148e39019fb5bb0d33b07b782de4ac44.jpg', 'checksum': '65046032565e67febe9c2126358cd19e'}]",499.0,Aziz Ansari: Live at Madison Square Garden,3100.0,"(69, 56, 50)","[(234, 223, 201), (65, 54, 49), (154, 105, 79), (176, 172, 160), (119, 113, 99), (157, 154, 148)]",['comedy'],2015,USA,Aziz Ansari
3452,133423,['https://a.ltrbxd.com/resized/sm/upload/fe/1j/3g/ab/a-haunted-house-2-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/fe/1j/3g/ab/a-haunted-house-2-0-150-0-225-crop.jpg', 'path': 'full/6a86b1fe5cf529c4079ac410892a975ac49f303b.jpg', 'checksum': 'cffb7800bbffb788e33b5a16fe906a35'}]",171.0,A Haunted House 2,3100.0,"(189, 92, 91)","[(21, 22, 27), (196, 51, 41), (63, 127, 178), (49, 73, 110), (172, 171, 192), (125, 132, 140)]","['horror', 'comedy']",2014,USA,Michael Tiddes
3455,243038,['https://a.ltrbxd.com/resized/film-poster/2/4/3/0/3/8/243038-accidental-love-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/2/4/3/0/3/8/243038-accidental-love-0-150-0-225-crop.jpg', 'path': 'full/66c9c7a0a6070febe1ed601f532bc49bc09128e1.jpg', 'checksum': '87bdd2b34758147a0938e58a40bab814'}]",82.0,Accidental Love,1900.0,"(243, 196, 43)","[(65, 71, 56), (248, 201, 29), (198, 48, 45), (212, 199, 196), (178, 109, 76), (215, 170, 124)]","['comedy', 'romance']",2015,USA,Stephen Greene
3458,175066,['https://a.ltrbxd.com/resized/film-poster/1/7/5/0/6/6/175066-last-days-in-vietnam-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/1/7/5/0/6/6/175066-last-days-in-vietnam-0-150-0-225-crop.jpg', 'path': 'full/3816d64d787cc388f7d5d88a6dac85334e0c7e5a.jpg', 'checksum': 'd93cccb3cd4726ad59b4a11fbeb588fb'}]",253.0,Last Days in Vietnam,1400.0,"(41, 37, 24)","[(182, 157, 68), (33, 31, 22), (117, 96, 35), (148, 108, 38), (100, 97, 76), (140, 132, 84)]","['war', 'documentary']",2014,USA,Rory Kennedy
3460,114736,['https://a.ltrbxd.com/resized/film-poster/1/1/4/7/3/6/114736-the-angriest-man-in-brooklyn-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/1/1/4/7/3/6/114736-the-angriest-man-in-brooklyn-0-150-0-225-crop.jpg', 'path': 'full/7faeec9b015de7d3ed7f63166bf3f3cf017fff0b.jpg', 'checksum': '171b06d01cfb9e5e157d531229d6447a'}]",163.0,The Angriest Man in Brooklyn,2200.0,"(35, 36, 40)","[(223, 218, 217), (36, 37, 41), (167, 46, 45), (119, 127, 135), (136, 110, 101), (76, 100, 102)]","['drama', 'comedy']",2014,USA,Phil Alden Robinson
3463,104981,['https://a.ltrbxd.com/resized/film-poster/1/0/4/9/8/1/104981-no-good-deed-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/1/0/4/9/8/1/104981-no-good-deed-0-150-0-225-crop.jpg', 'path': 'full/d75469ae696a380af971b5849c1be67ee64fe337.jpg', 'checksum': '930e52a87dd1873f1ab13f6a7edc89ba'}]",136.0,No Good Deed,2100.0,"(186, 130, 99)","[(187, 138, 105), (8, 12, 15), (98, 72, 61), (181, 47, 42), (104, 146, 136), (59, 117, 126)]","['crime', 'thriller']",2014,USA,Sam Miller
3470,39567,['https://a.ltrbxd.com/resized/film-poster/3/9/5/6/7/39567-miss-march-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/3/9/5/6/7/39567-miss-march-0-150-0-225-crop.jpg', 'path': 'full/5da74bcb470ae6904008000195b2d23ed354d67b.jpg', 'checksum': '4ddb7465cdadfe5b6a9f8e9c22483c64'}]",92.0,Miss March,1900.0,"(218, 163, 130)","[(226, 171, 137), (65, 40, 32), (185, 41, 34), (247, 243, 240), (172, 102, 52), (157, 109, 85)]","['comedy', 'romance']",2009,USA,Zach Cregger
3471,183510,['https://a.ltrbxd.com/resized/sm/upload/9l/o6/59/gg/1MFCT3zmErkuDtAAaE2XT7I8RRs-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/9l/o6/59/gg/1MFCT3zmErkuDtAAaE2XT7I8RRs-0-150-0-225-crop.jpg', 'path': 'full/e3c8a76f80349c49f23253e2cb4e0e4e0de7a44a.jpg', 'checksum': '0cb9392d8e4078ae89b0d187fab1a0af'}]",239.0,About Alex,1900.0,"(46, 58, 63)","[(237, 222, 207), (47, 57, 63), (121, 95, 90), (140, 138, 134), (143, 126, 94), (92, 132, 124)]",['drama'],2014,USA,Jesse Zwick
3474,38041,['https://a.ltrbxd.com/resized/sm/upload/26/3i/zr/50/771kBCBYaSeuqGF1yl5SGdYHeXE-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/26/3i/zr/50/771kBCBYaSeuqGF1yl5SGdYHeXE-0-150-0-225-crop.jpg', 'path': 'full/294cd510dff670fdbb86b1948c028d9b599c9c94.jpg', 'checksum': 'b3e4487713fd2e6489e29b8ab371380f'}]",177.0,Blood and Bone,1200.0,"(54, 48, 51)","[(50, 44, 46), (225, 218, 199), (165, 161, 142), (137, 125, 108), (156, 146, 148), (180, 148, 113)]","['action', 'drama', 'thriller']",2009,USA,Ben Ramsey
